sampleID,depthUpper,depthLower,weight,toc,sh0,sh1,oil,sh2,nso,s3,tMax,depthMedian,hi,oi,tpi,osi,oilInRock,vRo1,vRo2,vRo3,prcntOilLight,prcntOilHeavy,prcntNso,s2s3,wellID,rowID
16,2707.1,,0,0.45,0,0.33,0.33,1.14,0,0.33,446,"2,707.10",253.33,73.33,0.22,73.33,8,0.91,0.8,0.87,0,100,0,3.45,2,16-Feb
17,2707.8,,0,0.72,0,0.45,0.45,1.59,0,0.37,448,"2,707.80",220.83,51.39,0.22,62.5,10.91,0.95,0.83,0.9,0,100,0,4.3,2,17-Feb
18,2708.4,,0,0.36,0,0.26,0.26,0.84,0,0.39,448,"2,708.40",233.33,108.33,0.24,72.22,6.31,0.95,0.83,0.9,0,100,0,2.15,2,18-Feb
1,2676.15,,60.5,0.33,0,0.12,0.12,0.65,0,0.43,440,"2,676.15",196.97,130.3,0.16,36.36,2.91,0.81,0.71,0.76,0,100,0,1.51,3,01-Mar
2,2677,,60.2,0.3,0,0.12,0.12,0.47,0,0.42,438,"2,677.00",156.67,140,0.2,40,2.91,0.78,0.68,0.72,0,100,0,1.12,3,02-Mar
3,2678.1,,60.4,0.54,0,0.11,0.11,0.7,0,0.52,441,"2,678.10",129.63,96.3,0.14,20.37,2.67,0.83,0.72,0.78,0,100,0,1.35,3,03-Mar
4,2679.2,,60.1,0.26,0,0.11,0.11,0.45,0,0.37,440,"2,679.20",173.08,142.31,0.2,42.31,2.67,0.81,0.71,0.76,0,100,0,1.22,3,04-Mar
5,2680.55,,60.1,1.01,0,0.44,0.44,2.41,0,0.31,441,"2,680.55",238.61,30.69,0.15,43.56,10.67,0.83,0.72,0.78,0,100,0,7.77,3,05-Mar
6,2681.9,,60.2,2.16,0,1.14,1.14,6.74,0,0.29,443,"2,681.90",312.04,13.43,0.14,52.78,27.65,0.86,0.75,0.81,0,100,0,23.24,3,06-Mar
7,2683.6,,60.4,6.09,0,4.21,4.21,24.51,0,0.22,439,"2,683.60",402.46,3.61,0.15,69.13,102.09,0.79,0.69,0.74,0,100,0,111.41,3,07-Mar
8,2684.7,,60.2,1.29,0,1.47,1.47,4.48,0,0.23,439,"2,684.70",347.29,17.83,0.25,113.95,35.65,0.79,0.69,0.74,0,100,0,19.48,3,08-Mar
9,2686.25,,60.8,6.02,0,4.31,4.31,26.18,0,0.16,442,"2,686.25",434.88,2.66,0.14,71.59,104.52,0.84,0.74,0.8,0,100,0,163.63,3,09-Mar
10,2687.15,,60.5,5.77,0,3.53,3.53,24.03,0,0.25,441,"2,687.15",416.46,4.33,0.13,61.18,85.6,0.83,0.72,0.78,0,100,0,96.12,3,10-Mar
11,2688.8,,60.4,6.56,0,4.42,4.42,29.78,0,0.24,442,"2,688.80",453.96,3.66,0.13,67.38,107.19,0.84,0.74,0.8,0,100,0,124.08,3,11-Mar
12,2689.75,,60.4,3.18,0,2.77,2.77,12.76,0,0.24,440,"2,689.75",401.26,7.55,0.18,87.11,67.17,0.81,0.71,0.76,0,100,0,53.17,3,12-Mar
13,2691.3,,60.2,6.24,0,4.04,4.04,28.17,0,0.24,440,"2,691.30",451.44,3.85,0.13,64.74,97.97,0.81,0.71,0.76,0,100,0,117.38,3,13-Mar
14,2692.8,,60.6,4.19,0,3.13,3.13,17.57,0,0.2,442,"2,692.80",419.33,4.77,0.15,74.7,75.9,0.84,0.74,0.8,0,100,0,87.85,3,14-Mar
15,2693.2,,0,4.85,0,3.35,3.35,19.31,0,0.21,442,"2,693.20",398.14,4.33,0.15,69.07,81.24,0.84,0.74,0.8,0,100,0,91.95,3,15-Mar
16,2694.15,,0,3.2,0,2.4,2.4,12.04,0,0.22,442,"2,694.15",376.25,6.88,0.17,75,58.2,0.84,0.74,0.8,0,100,0,54.73,3,16-Mar
17,2695.23,,0,4.61,0,2.71,2.71,20.86,0,0.31,440,"2,695.23",452.49,6.72,0.11,58.79,65.72,0.81,0.71,0.76,0,100,0,67.29,3,17-Mar
18,2695.75,,0,1.32,0,0.84,0.84,4.33,0,0.45,443,"2,695.75",328.03,34.09,0.16,63.64,20.37,0.86,0.75,0.81,0,100,0,9.62,3,18-Mar
19,2696.8,,0,4.23,0,4.14,4.14,17.36,0,0.12,443,"2,696.80",410.4,2.84,0.19,97.87,100.4,0.86,0.75,0.81,0,100,0,144.67,3,19-Mar
20,2697.7,,0,3.41,0,2.75,2.75,13.32,0,0.21,439,"2,697.70",390.62,6.16,0.17,80.65,66.69,0.79,0.69,0.74,0,100,0,63.43,3,20-Mar
21,2698.8,,0,4.3,0,3.59,3.59,19.04,0,0.23,439,"2,698.80",442.79,5.35,0.16,83.49,87.06,0.79,0.69,0.74,0,100,0,82.78,3,21-Mar
22,2699.68,,0,5.99,0,4.54,4.54,29.08,0,0.26,442,"2,699.68",485.48,4.34,0.14,75.79,110.1,0.84,0.74,0.8,0,100,0,111.85,3,22-Mar
23,2701.3,,0,0.95,0,0.66,0.66,2.75,0,0.32,441,"2,701.30",289.47,33.68,0.19,69.47,16.01,0.83,0.72,0.78,0,100,0,8.59,3,23-Mar
24,2702.85,,0,0.8,0,0.53,0.53,1.79,0,0.27,442,"2,702.85",223.75,33.75,0.23,66.25,12.85,0.84,0.74,0.8,0,100,0,6.63,3,24-Mar
25,2704.1,,0,0.62,0,0.38,0.38,1.43,0,0.38,440,"2,704.10",230.65,61.29,0.21,61.29,9.22,0.81,0.71,0.76,0,100,0,3.76,3,25-Mar
26,2705.35,,0,8.65,0,5.04,5.04,39.46,0,0.25,440,"2,705.35",456.18,2.89,0.11,58.27,122.22,0.81,0.71,0.76,0,100,0,157.84,3,26-Mar
27,2706.02,,0,2.78,0,1.94,1.94,11.43,0,0.25,442,"2,706.02",411.15,8.99,0.15,69.78,47.05,0.84,0.74,0.8,0,100,0,45.72,3,27-Mar
28,2706.98,,0,2.27,0,2.42,2.42,9.78,0,0.2,442,"2,706.98",430.84,8.81,0.2,106.61,58.69,0.84,0.74,0.8,0,100,0,48.9,3,28-Mar
29,2708.3,,0,5.03,0,4.4,4.4,22.52,0,0.2,442,"2,708.30",447.71,3.98,0.16,87.48,106.7,0.84,0.74,0.8,0,100,0,112.6,3,29-Mar
30,2709.25,,0,3.63,0,3.64,3.64,15.2,0,0.19,440,"2,709.25",418.73,5.23,0.19,100.28,88.27,0.81,0.71,0.76,0,100,0,80,3,30-Mar
31,2710,,0,5.5,0,4.76,4.76,25.23,0,0.16,443,"2,710.00",458.73,2.91,0.16,86.55,115.43,0.86,0.75,0.81,0,100,0,157.69,3,31-Mar
1,2821.2,,60.2,3.66,0,2.96,2.96,11.59,0,0.39,444,"2,821.20",316.67,10.66,0.2,80.87,71.78,0.88,0.77,0.83,0,100,0,29.72,4,01-Apr
2,2825.5,,60.4,1.09,0,0.79,0.79,3.01,0,0.44,445,"2,825.50",276.15,40.37,0.21,72.48,19.16,0.9,0.78,0.85,0,100,0,6.84,4,02-Apr
3,2832.2,,60.4,3.75,0,2.48,2.48,12.52,0,0.41,443,"2,832.20",333.87,10.93,0.17,66.13,60.14,0.86,0.75,0.81,0,100,0,30.54,4,03-Apr
1,2940,,60.4,3.59,0,1.67,1.67,8.05,0,0.19,445,"2,940.00",224.23,5.29,0.17,46.52,40.5,0.9,0.78,0.85,0,100,0,42.37,5,01-May
2,2941.8,,60.1,1.11,0,0.7,0.7,3.93,0,0.2,450,"2,941.80",354.05,18.02,0.15,63.06,16.98,0.98,0.86,0.94,0,100,0,19.65,5,02-May
3,2942.6,,60.1,0.67,0,0.36,0.36,1.46,0,0.36,447,"2,942.60",217.91,53.73,0.2,53.73,8.73,0.93,0.81,0.89,0,100,0,4.06,5,03-May
1,2399.25,,60.5,0.78,0,0.26,0.26,2.03,0,0.73,438,"2,399.25",260.26,93.59,0.11,33.33,6.31,0.78,0.68,0.72,0,100,0,2.78,6,01-Jun
2,2400.3,,60.2,1.64,0,0.57,0.57,5.08,0,0.78,438,"2,400.30",309.76,47.56,0.1,34.76,13.82,0.78,0.68,0.72,0,100,0,6.51,6,02-Jun
3,2401.65,,60.4,0.86,0,0.38,0.38,3.02,0,0.52,439,"2,401.65",351.16,60.47,0.11,44.19,9.22,0.79,0.69,0.74,0,100,0,5.81,6,03-Jun
4,2402.6,,60.1,1.85,0,0.85,0.85,6.1,0,0.51,437,"2,402.60",329.73,27.57,0.12,45.95,20.61,0.76,0.66,0.71,0,100,0,11.96,6,04-Jun
5,2403.45,,60.1,2.04,0,0.93,0.93,7.56,0,0.45,437,"2,403.45",370.59,22.06,0.11,45.59,22.55,0.76,0.66,0.71,0,100,0,16.8,6,05-Jun
6,2404.25,,60.2,1.27,0,0.58,0.58,4.21,0,0.58,438,"2,404.25",331.5,45.67,0.12,45.67,14.07,0.78,0.68,0.72,0,100,0,7.26,6,06-Jun
7,2405.3,,60.4,3.1,0,1.38,1.38,11.44,0,0.62,432,"2,405.30",369.03,20,0.11,44.52,33.47,0.67,0.59,0.62,0,100,0,18.45,6,07-Jun
8,2406.2,,60.2,4.75,0,1.69,1.69,20.01,0,0.53,432,"2,406.20",421.26,11.16,0.08,35.58,40.98,0.67,0.59,0.62,0,100,0,37.75,6,08-Jun
9,2407.25,,60.8,5.26,0,2.55,2.55,25.64,0,0.49,433,"2,407.25",487.45,9.32,0.09,48.48,61.84,0.69,0.6,0.63,0,100,0,52.33,6,09-Jun
10,2408.3,,60.5,4.71,0,2,2,22.32,0,0.36,433,"2,408.30",473.89,7.64,0.08,42.46,48.5,0.69,0.6,0.63,0,100,0,62,6,10-Jun
11,2409.35,,60.4,5.49,0,3.11,3.11,25.72,0,0.55,431,"2,409.35",468.49,10.02,0.11,56.65,75.42,0.66,0.57,0.6,0,100,0,46.76,6,11-Jun
12,2410.1,,60.4,6.33,0,3.13,3.13,32.96,0,0.5,429,"2,410.10",520.7,7.9,0.09,49.45,75.9,0.62,0.54,0.56,0,100,0,65.92,6,12-Jun
13,2411.1,,60.2,2.15,0,1.65,1.65,9.35,0,0.35,432,"2,411.10",434.88,16.28,0.15,76.74,40.01,0.67,0.59,0.62,0,100,0,26.71,6,13-Jun
14,2412.15,,60.6,4.43,0,2.07,2.07,19.27,0,0.41,433,"2,412.15",434.99,9.26,0.1,46.73,50.2,0.69,0.6,0.63,0,100,0,47,6,14-Jun
15,2413.35,,0,5.66,0,2.6,2.6,27,0,0.56,432,"2,413.35",477.03,9.89,0.09,45.94,63.05,0.67,0.59,0.62,0,100,0,48.21,6,15-Jun
16,2413.9,,0,5.57,0,2.83,2.83,28.54,0,0.52,435,"2,413.90",512.39,9.34,0.09,50.81,68.63,0.73,0.63,0.67,0,100,0,54.88,6,16-Jun
17,2414.4,,0,11.21,0,5.56,5.56,59.94,0,0.78,431,"2,414.40",534.7,6.96,0.08,49.6,134.83,0.66,0.57,0.6,0,100,0,76.85,6,17-Jun
18,2414.95,,0,5.86,0,3.53,3.53,28.76,0,0.43,433,"2,414.95",490.78,7.34,0.11,60.24,85.6,0.69,0.6,0.63,0,100,0,66.88,6,18-Jun
19,2416.05,,0,2.92,0,1.36,1.36,13.83,0,0.34,434,"2,416.05",473.63,11.64,0.09,46.58,32.98,0.71,0.62,0.65,0,100,0,40.68,6,19-Jun
20,2416.65,,0,2.02,0,0.59,0.59,9.42,0,0.42,436,"2,416.65",466.34,20.79,0.06,29.21,14.31,0.74,0.65,0.69,0,100,0,22.43,6,20-Jun
21,2417.95,,0,3.05,0,1.67,1.67,14.28,0,0.44,436,"2,417.95",468.2,14.43,0.1,54.75,40.5,0.74,0.65,0.69,0,100,0,32.45,6,21-Jun
22,2419.15,,0,0.1,0,0.03,0.03,0.08,0,0.35,426,"2,419.15",80,350,0.27,30,0.73,0.57,0.5,0.51,0,100,0,0.23,6,22-Jun
23,2420.1,,0,0.17,0,0.02,0.02,0.07,0,0.61,426,"2,420.10",41.18,358.82,0.22,11.76,0.49,0.57,0.5,0.51,0,100,0,0.11,6,23-Jun
24,2421.15,,0,0.08,0,0.04,0.04,0.08,0,0.48,429,"2,421.15",100,600,0.33,50,0.97,0.62,0.54,0.56,0,100,0,0.17,6,24-Jun
25,2421.95,,0,0.24,0,0.07,0.07,0.17,0,0.55,430,"2,421.95",70.83,229.17,0.29,29.17,1.7,0.64,0.56,0.58,0,100,0,0.31,6,25-Jun
26,2422.9,,0,0.25,0,0.09,0.09,0.17,0,0.52,430,"2,422.90",68,208,0.35,36,2.18,0.64,0.56,0.58,0,100,0,0.33,6,26-Jun
27,2424.95,,0,0.21,0,0.07,0.07,0.15,0,0.62,427,"2,424.95",71.43,295.24,0.32,33.33,1.7,0.59,0.51,0.53,0,100,0,0.24,6,27-Jun
1,2362.8,,70.5,5.11,0,2.1,2.1,22.38,0,0.8,429,"2,362.80",437.96,15.66,0.09,41.1,50.93,0.62,0.54,0.56,0,100,0,27.98,7,01-Jul
2,2364.9,,70.5,7.02,0,3.76,3.76,37.91,0,0.78,432,"2,364.90",540.03,11.11,0.09,53.56,91.18,0.67,0.59,0.62,0,100,0,48.6,7,02-Jul
1,2713.3,,0,3.04,0,3.68,3.68,6.55,0,0.14,443,"2,713.30",215.46,4.61,0.36,121.05,89.24,0.86,0.75,0.82,0,100,0,46.79,8,01-Aug
2,2715,,0,2.92,0,3.23,3.23,7,0,0.15,444,"2,715.00",239.73,5.14,0.32,110.62,78.33,0.87,0.76,0.83,0,100,0,46.67,8,02-Aug
3,2715.3,,0,2.68,0,4.72,4.72,6.12,0,0.03,441,"2,715.30",228.36,1.12,0.44,176.12,114.46,0.83,0.73,0.79,0,100,0,204,8,03-Aug
4,2717,,0,2.74,0,3.8,3.8,6.32,0,0.04,443,"2,717.00",230.66,1.46,0.38,138.69,92.15,0.86,0.75,0.82,0,100,0,158,8,04-Aug
5,2717.1,,0,2.61,0,2.05,2.05,5.37,0,0.08,446,"2,717.10",205.75,3.07,0.28,78.54,49.71,0.9,0.79,0.86,0,100,0,67.13,8,05-Aug
6,2719,,60.5,2.99,0,2.02,2.02,7.37,0,0.18,446,"2,719.00",246.49,6.02,0.22,67.56,48.99,0.9,0.79,0.86,0,100,0,40.94,8,06-Aug
7,2719.33,,60.2,3.13,0,4.01,4.01,8.27,0,0.08,445,"2,719.33",264.22,2.56,0.33,128.12,97.24,0.9,0.79,0.86,0,100,0,103.38,8,07-Aug
8,2721,,60.4,2.36,0,1.47,1.47,4.8,0,0.13,448,"2,721.00",203.39,5.51,0.23,62.29,35.65,0.94,0.82,0.9,0,100,0,36.92,8,08-Aug
9,2721.34,,60.1,0.62,0,0.67,0.67,0.43,0,0.07,444,"2,721.34",69.35,11.29,0.61,108.06,16.25,0.88,0.77,0.83,0,100,0,6.14,8,09-Aug
10,2723,,60.1,0.87,0,0.24,0.24,0.46,0,0.24,447,"2,723.00",52.87,27.59,0.34,27.59,5.82,0.93,0.81,0.89,0,100,0,1.92,8,10-Aug
11,2723.35,,60.2,1.44,0,0.89,0.89,1.96,0,0.19,445,"2,723.35",136.11,13.19,0.31,61.81,21.58,0.89,0.78,0.85,0,100,0,10.32,8,11-Aug
12,2725,,60.4,0.44,0,0.21,0.21,0.2,0,0.11,441,"2,725.00",45.45,25,0.51,47.73,5.09,0.82,0.72,0.77,0,100,0,1.82,8,12-Aug
13,2725.19,,60.2,1.19,0,0.39,0.39,1.01,0,0.29,448,"2,725.19",84.87,24.37,0.28,32.77,9.46,0.95,0.83,0.91,0,100,0,3.48,8,13-Aug
14,2727,,60.8,0.38,0,0.23,0.23,0.2,0,0.1,442,"2,727.00",52.63,26.32,0.53,60.53,5.58,0.84,0.74,0.8,0,100,0,2,8,14-Aug
15,2727.19,,60.5,1.61,0,0.69,0.69,2.04,0,0.2,447,"2,727.19",126.71,12.42,0.25,42.86,16.73,0.93,0.81,0.89,0,100,0,10.2,8,15-Aug
16,2729,,60.4,4.01,0,2.75,2.75,11.65,0,0.02,448,"2,729.00",290.52,0.5,0.19,68.58,66.69,0.94,0.82,0.9,0,100,0,582.5,8,16-Aug
17,2729.3,,60.4,3.63,0,4.36,4.36,10.21,0,0.01,446,"2,729.30",281.27,0.28,0.3,120.11,105.73,0.92,0.8,0.87,0,100,0,"1,021.00",8,17-Aug
18,2730.97,,60.2,4.07,0,2.51,2.51,11.72,0,0.02,449,"2,730.97",287.96,0.49,0.18,61.67,60.87,0.96,0.84,0.92,0,100,0,586,8,18-Aug
19,2731.27,,60.6,4.62,0,4.59,4.59,13.3,0,0.01,447,"2,731.27",287.88,0.22,0.26,99.35,111.31,0.93,0.81,0.88,0,100,0,"1,330.00",8,19-Aug
20,2732.97,,0,1.14,0,0.56,0.56,1.05,0,0.13,446,"2,732.97",92.11,11.4,0.35,49.12,13.58,0.91,0.79,0.86,0,100,0,8.08,8,20-Aug
21,2733.27,,0,1,0,0.66,0.66,0.66,0,0.17,440,"2,733.27",66,17,0.5,66,16.01,0.8,0.7,0.75,0,100,0,3.88,8,21-Aug
22,2734.97,,0,1.65,0,0.86,0.86,2.37,0,0.08,449,"2,734.97",143.64,4.85,0.27,52.12,20.86,0.96,0.83,0.91,0,100,0,29.63,8,22-Aug
23,2735.27,,0,1.6,0,1.19,1.19,2.36,0,0.11,448,"2,735.27",147.5,6.88,0.34,74.38,28.86,0.95,0.83,0.9,0,100,0,21.45,8,23-Aug
24,2736.97,,0,1.94,0,0.94,0.94,3.04,0,0.11,450,"2,736.97",156.7,5.67,0.24,48.45,22.8,0.98,0.85,0.94,0,100,0,27.64,8,24-Aug
25,2737.32,,0,1.64,0,1.52,1.52,2.61,0,0.01,447,"2,737.32",159.15,0.61,0.37,92.68,36.86,0.93,0.81,0.89,0,100,0,261,8,25-Aug
26,2738.97,,0,2.42,0,1.28,1.28,4.85,0,0.12,447,"2,738.97",200.41,4.96,0.21,52.89,31.04,0.93,0.81,0.88,0,100,0,40.42,8,26-Aug
27,2739.27,,0,2.41,0,2.43,2.43,5.26,0,0.05,443,"2,739.27",218.26,2.07,0.32,100.83,58.93,0.86,0.75,0.82,0,100,0,105.2,8,27-Aug
28,2741,,0,2.78,0,1.63,1.63,6.14,0,0.12,448,"2,741.00",220.86,4.32,0.21,58.63,39.53,0.94,0.82,0.9,0,100,0,51.17,8,28-Aug
29,2741.3,,0,2.68,0,2.7,2.7,6.19,0,0.03,446,"2,741.30",230.97,1.12,0.3,100.75,65.48,0.91,0.8,0.87,0,100,0,206.33,8,29-Aug
30,2743,,0,3.73,0,2.02,2.02,8.16,0,0.08,446,"2,743.00",218.77,2.14,0.2,54.16,48.99,0.92,0.8,0.88,0,100,0,102,8,30-Aug
31,2743.3,,0,3.83,0,2.8,2.8,10.76,0,0.08,447,"2,743.30",280.94,2.09,0.21,73.11,67.9,0.93,0.81,0.88,0,100,0,134.5,8,31-Aug
32,2745,,0,1.06,0,0.21,0.21,0.29,0,0.24,447,"2,745.00",27.36,22.64,0.42,19.81,5.09,0.93,0.81,0.89,0,100,0,1.21,8,8-32
33,2745.33,,0,0.39,0,0.14,0.14,0.1,0,0.13,447,"2,745.33",25.64,33.33,0.58,35.9,3.4,0.93,0.81,0.89,0,100,0,0.77,8,8-33
34,2747,,0,0.44,0,0.08,0.08,0.06,0,0.07,447,"2,747.00",13.64,15.91,0.57,18.18,1.94,0.93,0.81,0.89,0,100,0,0.86,8,8-34
35,2747.38,,0,0.36,0,0.35,0.35,0.49,0,0.07,436,"2,747.38",136.11,19.44,0.42,97.22,8.49,0.75,0.65,0.7,0,100,0,7,8,8-35
36,2748.81,,0,0.19,0,0.06,0.06,0.2,0,0.02,441,"2,748.81",105.26,10.53,0.23,31.58,1.46,0.82,0.71,0.77,0,100,0,10,8,8-36
37,2749.02,,0,0.39,0,0.03,0.03,0.05,0,0.1,445,"2,749.02",12.82,25.64,0.38,7.69,0.73,0.89,0.77,0.84,0,100,0,0.5,8,8-37
1,2894.71,,60.5,0.72,0,0.76,0.76,0.99,0,0.42,446,"2,894.71",137.5,58.33,0.43,105.56,18.43,0.91,0.8,0.87,0,100,0,2.36,9,01-Sep
2,2899.13,,60.2,3.89,0,3.37,3.37,8.7,0,0.17,451,"2,899.13",223.65,4.37,0.28,86.63,81.72,1,0.87,0.96,0,100,0,51.18,9,02-Sep
